# This is a continuation of trace file C:\1c\1cedtstart\projects\Dev2\.metadata\trace.log.bak_2
# version: 1.1
# verbose: true
# Time of creation: 2024-11-06 15:09:30.482
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.501 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/РезультатыОбновленияПрограммы/Forms/ОтложенныеОбработчики/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.501 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/РаботаСФайлами/Forms/ВопросПриИмпортеФайлов/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.502 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/CommonForms/ВводНаРазныхЯзыках/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.502 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/УчебныеГруппыУЦ/Forms/ФормаГруппы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.503 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/ВариантыОтчетов/Forms/ФормаСписка/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.503 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/CommonForms/ОписаниеИзмененийПрограммы/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.503 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/РаботаСФайлами/Forms/ФормаВыбораРежимаОткрытия/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.504 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/InformationRegisters/СессииВебКабинетаСУ/Forms/ФормаСписка/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.504 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/InformationRegisters/НастройкиПравОбъектов/Forms/ФормаЗаписи/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.504 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/СтруктураБиблиотекиПользователейСУО/Forms/ФормаСписка/Form.form |
